# cols: nnz_loss	nnz_mask (per-row)
101	101
99	99
108	108
73	73
131	131
59	59
131	131
120	120
120	120
73	73
91	91
102	102
96	96
102	102
114	114
135	135
87	87
93	93
122	122
104	104
101	101
131	131
139	139
131	131
98	98
105	105
87	87
120	120
104	104
114	114
136	136
123	123
80	80
101	101
96	96
90	90
97	97
131	131
119	119
93	93
113	113
73	73
145	145
91	91
135	135
75	75
144	144
88	88
101	101
75	75
79	79
107	107
133	133
99	99
133	133
97	97
70	70
105	105
92	92
107	107
101	101
116	116
144	144
97	97
113	113
104	104
85	85
76	76
90	90
131	131
119	119
102	102
89	89
105	105
100	100
102	102
97	97
110	110
102	102
147	147
88	88
94	94
105	105
99	99
91	91
96	96
110	110
131	131
98	98
107	107
105	105
102	102
99	99
101	101
144	144
106	106
116	116
99	99
86	86
112	112
101	101
114	114
110	110
107	107
107	107
89	89
81	81
87	87
90	90
102	102
107	107
144	144
136	136
114	114
102	102
93	93
95	95
131	131
108	108
133	133
99	99
111	111
104	104
115	115
94	94
102	102
107	107
102	102
72	72
93	93
100	100
125	125
104	104
99	99
95	95
133	133
67	67
100	100
107	107
97	97
91	91
101	101
102	102
107	107
97	97
103	103
102	102
102	102
131	131
95	95
134	134
90	90
110	110
108	108
90	90
94	94
109	109
95	95
107	107
102	102
75	75
139	139
108	108
131	131
99	99
124	124
139	139
131	131
105	105
87	87
109	109
136	136
101	101
121	121
107	107
114	114
87	87
133	133
112	112
107	107
103	103
107	107
131	131
139	139
93	93
93	93
92	92
103	103
116	116
116	116
115	115
131	131
121	121
79	79
101	101
93	93
131	131
82	82
139	139
157	157
87	87
104	104
88	88
133	133
97	97
115	115
136	136
132	132
93	93
125	125
108	108
131	131
102	102
117	117
139	139
142	142
77	77
106	106
101	101
135	135
104	104
146	146
139	139
130	130
75	75
98	98
119	119
100	100
92	92
102	102
119	119
141	141
117	117
93	93
88	88
135	135
127	127
97	97
114	114
133	133
